sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,4,0A EA 81 05 
1,0.000 025 040,"Idle","Init","Cycle Freq.: 25000000, CPU Freq.: 25000000, ID Base: 0x10000000, ID Shift: 0",626,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,14,18,18 0E C0 F0 F5 0B C0 F0 F5 0B 80 80 80 80 01 00 F2 04 
2,0.000 093 000,"Idle","System Description","N=FreeRTOS Mak Application,D=Cortex-M4,O=FreeRTOS",2325,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,32,53,0E 31 4E 3D 46 72 65 65 52 54 4F 53 20 4D 61 6B 20 41 70 70 6C 69 63 61 74 69 6F 6E 2C 44 3D 43 6F 72 74 65 78 2D 4D 34 2C 4F 3D 46 72 65 65 52 54 4F 53 A3 0D 
3,0.000 128 560,"Idle","System Description","I#15=SysTick",3214,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,85,16,0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B F9 06 
4,0.000 146 040,"Idle","xTaskGetTickCountFromISR","",3651,0x0000000000000000,0x0000000000000000,0x0000000000000000,210,101,5,D2 01 00 B5 03 
5,0.000 163 520,"Idle","xTaskGetTickCountFromISR","Returns 0 after 17.480 us",4088,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,106,7,1C 03 D2 01 00 B5 03 
6,0.000 181 240,"Idle","System Time (us)","0 us",4531,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,113,5,0D 00 00 BB 03 
7,0.000 224 840,"Idle","Task Info","Green Task (0x10000F88): Priority=3",5621,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,118,20,09 88 9F 80 80 01 03 0A 47 72 65 65 6E 20 54 61 73 6B C2 08 
8,0.000 248 720,"Idle","Stack Info","Green Task (0x10000F88): 1972 @ 0x20000780",6218,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,138,16,15 88 9F 80 80 01 80 8F 80 80 02 B4 0F 00 D5 04 
9,0.000 290 640,"Idle","Task Info","Red Task (0x100017F8): Priority=2",7266,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,154,18,09 F8 AF 80 80 01 02 08 52 65 64 20 54 61 73 6B 98 08 
10,0.000 314 160,"Idle","Stack Info","Red Task (0x100017F8): 1972 @ 0x20000FF0",7854,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,172,16,15 F8 AF 80 80 01 F0 9F 80 80 02 B4 0F 00 CC 04 
11,0.000 355 080,"Idle","Task Info","Tmr Svc (0x10000408): Priority=6",8877,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,188,17,09 88 88 80 80 01 06 07 54 6D 72 20 53 76 63 FF 07 
12,0.000 378 480,"Idle","Stack Info","Tmr Svc (0x10000408): 436 @ 0x20000468",9462,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,205,16,15 88 88 80 80 01 E8 88 80 80 02 B4 03 00 C9 04 
13,0.000 396 040,"Idle","Num Modules","Registered Modules: 0",9901,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,221,5,1B 01 00 B7 03 
